,Unnamed: 0,APOGEE_ID,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68u,age_68l,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr,LOGG_NORM,LOGG_ERR_NORM,TEFF_NORM,TEFF_ERR_NORM,ALPHA_M_NORM,ALPHA_M_ERR_NORM,M_H_NORM,M_H_ERR_NORM,C_FE_NORM,C_FE_ERR_NORM,N_FE_NORM,N_FE_ERR_NORM,G_NORM,G_ERR_NORM,BP_NORM,BP_ERR_NORM,RP_NORM,RP_ERR_NORM,J_NORM,J_ERR_NORM,H_NORM,H_ERR_NORM,K_NORM,K_ERR_NORM
1506,193,2M18570822+4611498,2107241973398658688,2.6015141010284424,4585.677734375,0.04750471189618112,0.1827792525291443,-0.04786528646945954,0.421869695186615,18.92947196960449,18.558555603027344,17.124046325683597,9.630000114440918,9.062000274658203,8.932000160217285,0.0497138611972332,65.41645050048828,0.0105403745546937,0.02495372854173184,0.02360351569950581,0.03609452769160272,0.017058398842217153,0.13011810150575845,0.04643222610664308,0.020999999716877937,0.017000000923871994,0.0130000002682209,4.8872,5.8195,4.1966,0.8114499999999998,0.6890601121239531,0.0709940481149206,1.1245586,1.1369893,1.1104525,0.013268399999999929,0.05098209115764095,0.0051281957296365616,-0.18613084027526883,0.16511643666640544,-0.8056311537692435,0.35685682154536374,0.09050357935906815,0.16564523253832947,0.8744968240597816,0.1078458334133525,0.1796999798543627,0.2602793869727428,0.866722946989286,0.28572642861464725,5.1482607037757795,0.012931881694035264,4.745202930863731,0.10571895728650321,4.681657387316179,0.037984926908020245,-0.7468653789179693,0.023356992592266493,-0.7680042934594673,0.019042723923973826,-0.7770715168133022,0.014516954880366362
1507,1464,2M19281864+3818277,2052668194795467520,2.449988842010498,4535.80517578125,0.02492610737681389,0.1947038173675537,0.0037752836942672725,0.3721083402633667,13.023524284362793,13.720354080200195,12.233083724975586,11.152000427246094,10.51200008392334,10.373000144958496,0.049187254160642624,63.455970764160156,0.010441815480589868,0.02410707250237465,0.022372597828507423,0.03442947193980217,0.010344946761591912,0.01133610868808916,0.011062825436051544,0.020999999716877937,0.019999999552965164,0.017999999225139618,5.9873,8.2202,4.4361,1.89205,0.7772310194752988,0.13394052829658465,2.5372008999999998,2.5932767999999995,2.4802758,0.0565005000000001,0.4043548567790933,0.009674449440175342,-0.6893971372691045,0.16336739776032808,-1.0776936488440518,0.3461621023721655,-0.2643261448214732,0.16409634633281778,0.9260327951648264,0.10418672788023654,0.7491480280287769,0.24670587729071006,0.4728091009146792,0.27254574822256306,0.6709930854522156,0.00784244927612514,0.8142385668269423,0.009210414049410474,0.6804954255558672,0.009050193170137149,0.9459608358865175,0.023356992592266493,0.8562277393092512,0.02240320289817787,0.8320770469935823,0.02010039778512573
1508,946,2M19171532+5002099,2132711881081265792,2.694049119949341,4825.38671875,0.009747199714183807,-0.09721539169549942,-0.16873592138290405,0.2778240740299225,12.66438102722168,13.235206604003904,11.973609924316404,11.079000473022461,10.48799991607666,10.418999671936037,0.057701185345649726,77.72315216064453,0.013348854146897793,0.03303993865847588,0.03580144792795181,0.052188366651535034,0.010221364355508994,0.012263081016609344,0.01092708131364502,0.024000000208616257,0.029999999329447743,0.023000000044703484,2.9793,3.7737,2.2131,0.7803,0.4741142366103681,0.11588316683242553,2.143505,2.1851831,2.1043114,0.04043585000000007,0.3311245008953461,0.008188912551402944,0.12120904890492432,0.1916450238677445,0.5020183075736837,0.42399177620203116,-0.5028673538086387,0.20978135433512443,-0.3355931112852529,0.1427930785810368,-1.1531580214194146,0.3947877527252845,-0.2735507599376346,0.41312621530836646,0.3987284869094071,0.007748762109485953,0.42006370014722305,0.009963564816832783,0.4682270469097891,0.008939144637681208,0.8647675305043842,0.026693706411648636,0.8293437072153719,0.0336048043472668,0.8834442042146139,0.025683842769880103
1509,2021,2M19403703+4024309,2076587417424617344,3.135771512985228,4836.337890625,-0.00626712292432785,0.4098677039146423,-0.1707441806793213,0.5985058546066284,12.63113021850586,13.25539779663086,11.897977828979492,10.913999557495117,10.413000106811523,10.263999938964844,0.05519411340355873,88.79471588134766,0.009907711297273636,0.02466922625899315,0.030225524678826325,0.042756855487823486,0.010181624872691732,0.011037657550824006,0.010896216457234192,0.019999999552965164,0.01899999938905239,0.017000000923871994,2.8643,3.35,2.2243,0.5628500000000001,0.457018502993809,0.08892572259445408,1.2324627000000001,1.2499749999999998,1.2147864,0.017594299999999976,0.09077378439608023,0.006200702925763781,1.5883175328844858,0.18331819558333382,0.5617586382949341,0.4843888630002149,-0.7545373664476899,0.1557027345891331,1.8559350591219042,0.10661626221966722,-1.1753033876101273,0.33330123929373534,2.2649852937502195,0.3384658118180773,0.3735212251657195,0.007718635818318277,0.4364687337758311,0.008967927088199726,0.40635451022212843,0.008913894947690055,0.6812472822354323,0.022244754652472443,0.7453319081229869,0.021283042544622887,0.7103577362464418,0.01898371086816986
1510,1629,2M19314653+4246022,2077804130118429568,2.824976921081543,4690.09033203125,0.01846180111169815,0.12132587283849715,-0.0731765553355217,0.26560845971107483,12.402057647705078,13.041394233703613,11.654897689819336,10.645000457763672,10.062000274658203,9.940999984741213,0.05149692296981812,69.79022216796875,0.011065222322940826,0.02735001035034656,0.0270147118717432,0.0406993143260479,0.010192187470694707,0.011393902963945915,0.010580848591905638,0.020999999716877937,0.017000000923871994,0.014999999664723871,10.3166,13.3316,8.0427,2.64445,1.013536592201029,0.1097402026143534,1.2428931,1.2632348999999998,1.2219684,0.020633249999999968,0.09443377701124356,0.007212070198080976,0.5560642676083981,0.171038583913775,-0.23604433816196516,0.3807164202163524,-0.36591470876935017,0.17389337686824838,0.6089056144046224,0.11820216185986586,-0.09941104868190162,0.2978951413314167,-0.37025028964142126,0.3221781935701027,0.1998625241150181,0.007726643267846194,0.2625941285790762,0.009257371010125385,0.2074973350872731,0.008655901172286519,0.382056326784895,0.023356992592266493,0.3521558764869571,0.019042723923973826,0.3496673004710465,0.016750331834270608
1511,117,2M18521171+4833576,2131739298624020736,2.540322780609131,4782.48046875,0.12940412759780884,-0.5620720982551575,-0.0359533429145813,0.10493466258049013,12.199633598327635,12.734223365783693,11.5342378616333,10.642999649047852,10.109000205993652,10.008999824523926,0.07329411059617996,84.05632019042969,0.02033304609358311,0.04023848474025726,0.04986507073044777,0.0692201778292656,0.01020153870648479,0.011106330236352036,0.010719889720149006,0.02199999988079071,0.017999999225139618,0.016000000759959214,14.6062,19.2527,11.3501,3.9513000000000007,1.1645372430603065,0.11474597785443395,1.4341452,1.4581319,1.4076667999999999,0.025232550000000062,0.1565931236933104,0.007648471709260848,-0.3893677753920948,0.24343436777645022,0.2679580997469616,0.45854018407391617,1.3775781219433536,0.31954008189247135,-2.344625903834548,0.17390398853005784,0.31105470707334804,0.5498693587135897,-1.6421536268544152,0.547951045881898,0.046405925826429155,0.007733732390104908,0.013022520251798186,0.009023722589548675,0.10878884879040143,0.008769646894522684,0.3798309517856564,0.02446923053206054,0.4048033275591442,0.0201628821910679,0.42560196090416375,0.01786702187121898
1512,645,2M19092187+4330062,2105997016999318912,2.222688913345337,4629.41796875,0.008628111332654953,-0.22978317737579346,-0.14352723956108093,0.29425275325775146,10.079530715942383,10.678131103515623,9.374955177307127,8.407999992370605,7.8470001220703125,7.710999965667725,0.05788083001971245,67.98220062255861,0.014617164619266987,0.03187781572341919,0.03185226768255234,0.047554485499858856,0.010245537014381254,0.010877335814010578,0.010684976090295395,0.026000000536441803,0.028999999165534977,0.017999999225139618,4.1951,12.7316,1.6615,5.53505,0.6227423177107417,0.4421913199662988,1.2357531000000002,1.325869,1.1485238999999998,0.08867255,0.09193170860172413,0.03118028976960179,-1.4443365721044,0.19224168419009716,-0.5670214326166834,0.37085338397632,-0.5204541724010332,0.22971324404513851,-0.9085288674206274,0.1377705779855702,-0.8751782350813812,0.35123957005608314,-0.1435003577622576,0.3764441364235611,-1.5608328254645887,0.007767087273978689,-1.65752083640952,0.008837668141518686,-1.657660917143797,0.008741085014352709,-2.1060200543347176,0.028918182291236733,-2.1289990708672506,0.03248464399371183,-2.1405487758503345,0.02010039778512573
