,APOGEE_ID,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68u,age_68l,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
1991,2M19394480+4044184,2076653353764142080,2.7235398292541504,4731.30322265625,0.006612207740545273,0.12313923239707948,-0.16189470887184146,0.4321453273296356,11.291925430297852,11.899423599243164,10.57915496826172,9.644000053405762,9.06999969482422,8.954000473022461,0.051737550646066666,71.54425048828125,0.01104880403727293,0.027967220172286037,0.028031760826706886,0.042033519595861435,0.0006278488417588157,0.0015323402831268762,0.0008663469456204886,0.02199999988079071,0.019999999552965164,0.017000000923871994,5.4191,6.9987,4.1534,1.42265,0.7339271652304165,0.1133068096339781,0.9714662000000001,0.9877478000000001,0.9538938,0.016926999999999963,-0.012572305109334646,0.007573022515855302
435,2M19042962+3835044,2099978462148578560,2.803363800048828,4795.51416015625,0.04591197520494461,-0.2725322544574737,0.023212194442749023,0.12734219431877136,11.973692893981935,12.54294204711914,11.279762268066404,10.36299991607666,9.815999984741213,9.69200038909912,0.06290730088949202,79.02779388427734,0.0156752597540617,0.0354701392352581,0.040032587945461266,0.057463556528091424,0.00016086918343760637,0.0010382459381874654,0.0005987109438865268,0.019999999552965164,0.019999999552965164,0.017000000923871994,8.8407,11.6109,6.9375,2.3367000000000004,0.9464866534860964,0.11183144427096142,1.2508652,1.2719885999999998,1.2288814,0.02155359999999996,0.0972105102925432,0.007486624058252837
2407,2M19470909+4636499,2080337748505913728,2.44229793548584,4852.86474609375,0.013433830812573431,-0.2767603397369385,-0.06853380799293518,0.2138431966304779,12.819708824157715,13.377824783325195,12.132390022277832,11.227999687194824,10.678999900817873,10.576000213623047,0.04913485050201416,86.3651123046875,0.016367435455322266,0.03632102906703949,0.044630616903305054,0.06237101554870605,0.00020522560113311886,0.001331437544405123,0.0010963098251193237,0.020999999716877937,0.017000000923871994,0.016000000759959217,3.2294,4.1773,2.4831,0.8471,0.509121840939676,0.11295072803672628,2.4165961,2.4627005,2.374105,0.04429774999999995,0.3832040702673077,0.007955837945432032
237,2M18584464+4857075,2132173227759352960,2.482807874679565,4581.7392578125,0.01341158524155617,0.025627288967370987,-0.06559492647647858,0.2994510531425476,10.935843467712402,11.557953834533693,10.21489429473877,9.22599983215332,8.642000198364258,8.526000022888184,0.05253783985972405,65.55062103271484,0.011938769370317459,0.027072161436080933,0.025952203199267387,0.039420753717422485,0.0003797910933067694,0.0010569512934932581,0.0007739546269835973,0.020999999716877937,0.017000000923871994,0.017999999225139618,5.7391,8.0332,4.256,1.8886000000000005,0.7588437921053524,0.13794348015061292,1.1480371999999999,1.1741421,1.1207272,0.026707449999999997,0.05995596079102745,0.010110374005001376
1393,2M19264567+3851090,2052766704166924928,2.54001522064209,4703.6513671875,0.04137054458260536,-0.18265722692012787,-0.02639228105545044,0.21633072197437286,11.77858066558838,12.402840614318848,11.044803619384766,10.05500030517578,9.454000473022461,9.35099983215332,0.057466007769107826,70.99347686767578,0.014079999178647997,0.032414980232715614,0.033114831894636154,0.04912203550338745,0.00017943147201937568,0.0011491419035214445,0.0013699747062922984,0.020999999716877937,0.020999999716877937,0.017999999225139618,4.9026,8.2642,4.217,2.0236000000000005,0.690426460882456,0.1460986089422847,1.4852686000000002,1.5222419,1.443311,0.039465450000000034,0.17180499974711455,0.011561875128555443
109,2M18514082+4644158,2107514270028152832,2.792795419692993,4616.3828125,0.07507561147212982,0.24715422093868256,0.05918590724468231,0.35501593351364136,12.777113914489744,13.417624473571776,12.032647132873535,11.031999588012695,10.460000038146973,10.298999786376953,0.05491111427545548,75.31311798095703,0.010977243073284626,0.02392655424773693,0.0263468474149704,0.03846315667033196,0.00022432829568375112,0.0017804789583875102,0.0006549435294578299,0.02500000037252903,0.01899999938905239,0.020999999716877937,10.3565,13.0269,8.0575,2.4847,1.0152130095109086,0.104320382572562,1.4196025,1.4437371,1.3968507,0.023443200000000046,0.15216675549328462,0.007169063499159163
1929,2M19383224+4703274,2128540991100486272,2.2884364128112797,4569.826171875,0.038065213710069656,-0.2473073452711105,-0.040165111422538764,0.17300188541412356,17.009733200073242,16.821800231933597,15.991952896118164,10.357000350952148,9.725000381469727,9.605999946594238,0.05779748409986496,65.61682891845703,0.0148226423189044,0.031113261356949806,0.030480910092592236,0.045785821974277496,0.002138369729016154,0.05372468628140725,0.03655175933178989,0.020999999716877937,0.017000000923871994,0.012000000104308128,3.7460000000000004,5.307,2.6315,1.3377500000000002,0.5735677730392186,0.15232285663804465,2.2898408,2.3512871,2.2310015,0.06014280000000007,0.3598052892897073,0.011402899444417358
163,2M18553496+4542376,2107214068994063360,2.641835451126098,4644.18359375,0.1874923557043076,-0.2904988825321197,-0.011418849229812622,0.07787413895130157,11.864665985107422,12.416349411010742,11.187174797058104,10.270000457763672,9.72599983215332,9.621000289916992,0.059256132692098624,68.72119903564453,0.015337609685957432,0.03320731222629547,0.033552225679159164,0.049866627901792526,0.00016024269680503522,0.0017225524424213654,0.000933073735197576,0.019999999552965164,0.017999999225139618,0.014000000432133676,13.9417,16.7841,11.0713,2.856399999999999,1.1443157332745133,0.09034971967466544,1.314442,1.3341646,1.2956867,0.019238950000000046,0.11874142753962108,0.006354706151454789
1960,2M19391205+4946245,2135038894363892224,2.9117839336395264,4973.412109375,0.054376501590013504,-0.2220618724822998,-0.10897527635097504,0.3177047371864319,12.550418853759766,13.06814670562744,11.897815704345705,11.050000190734863,10.553999900817873,10.463000297546387,0.06845588237047195,95.4920425415039,0.016015080735087398,0.03753354027867317,0.04960891976952553,0.06779859215021132,0.00022225940228270963,0.001309824302261342,0.0009709268900448543,0.020999999716877937,0.017999999225139618,0.017000000923871994,5.1837,6.6813,4.1229,1.2792000000000003,0.7146398593527696,0.1048290857121531,1.5423598,1.568,1.5187981000000002,0.02460095000000001,0.1881856972734268,0.006923006589010503
252,2M18591898+4415597,2105949291323179008,2.526211261749268,4718.89111328125,0.02501392737030983,-0.1803474724292755,-0.09063310921192168,0.3038579225540161,10.319981575012207,10.887866973876953,9.63711643218994,8.723999977111816,8.173000335693361,8.048000335693361,0.057531606405973434,71.6443099975586,0.01405400037765503,0.032654840499162674,0.03353564441204071,0.04966365173459053,0.00032358599201365296,0.0007169627396985677,0.0007456108036840714,0.020999999716877937,0.017999999225139618,0.016000000759959217,4.1124,5.5577,3.2719,1.1428999999999998,0.6140953504774918,0.11504753924162307,0.8727792999999999,0.8882140000000001,0.8580253000000001,0.015094350000000019,-0.059095562605762576,0.007508760223888723
